Relative path to structure,Relative path to metrics (JSON/log),Modelling software,Entry title,Entry description,Entry short name,pTM (optional)
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0274_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0274_ESMFold_hypothetical_protein.pdb,ESMFold,hypothetical protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0274,0.323
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0275_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0275_ESMFold_hypothetical_protein.pdb,ESMFold,structural match to: Cocrystal structure of NUDIX domain of Shewanella oneidensis NrtR complexed with ADP ribose ,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0275,0.658
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0276_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0276_ESMFold_hypothetical_protein.pdb,ESMFold,structural match to: Methionine--tRNA ligase ,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0276,0.662
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0277_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0277_ESMFold_hypothetical_protein.pdb,ESMFold,hypothetical protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0277,0.236
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0278_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0278_ESMFold_hypothetical_protein.pdb,ESMFold,hypothetical protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0278,0.424
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0279_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0279_ESMFold_hypothetical_protein.pdb,ESMFold,structural match to: Probable adenosylcobalamin-dependent ribonucleoside-triphosphate reductase ,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0279,0.729
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0280_ESMFold_Fe-S_cluster_assembly_ATPase_SufC.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0280_ESMFold_Fe-S_cluster_assembly_ATPase_SufC.pdb,ESMFold,Fe-S cluster assembly ATPase SufC,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0280,0.922
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0281_ESMFold_SufD_family_Fe-S_cluster_assembly_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0281_ESMFold_SufD_family_Fe-S_cluster_assembly_protein.pdb,ESMFold,SufD family Fe-S cluster assembly protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0281,0.942
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0282_ESMFold_zinc-dependent_alcohol_dehydrogenase_family_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0282_ESMFold_zinc-dependent_alcohol_dehydrogenase_family_protein.pdb,ESMFold,zinc-dependent alcohol dehydrogenase family protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0282,0.952
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0283_ESMFold_MFS_transporter.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0283_ESMFold_MFS_transporter.pdb,ESMFold,MFS transporter,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0283,0.942
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0284_ESMFold_MBL_fold_metallo-hydrolase.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0284_ESMFold_MBL_fold_metallo-hydrolase.pdb,ESMFold,MBL fold metallo-hydrolase,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0284,0.85
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0285_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0285_ESMFold_hypothetical_protein.pdb,ESMFold,hypothetical protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0285,0.661
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0286_ESMFold_methyltransferase.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0286_ESMFold_methyltransferase.pdb,ESMFold,methyltransferase,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0286,0.954
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0287_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0287_ESMFold_hypothetical_protein.pdb,ESMFold,structural match to: Probable ribosomal RNA small subunit methyltransferase A ,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0287,0.947
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0288_ESMFold_DUF655_domain-containing_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0288_ESMFold_DUF655_domain-containing_protein.pdb,ESMFold,DUF655 domain-containing protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0288,0.794
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0289_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0289_ESMFold_hypothetical_protein.pdb,ESMFold,hypothetical protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0289,0.801
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0290_ESMFold_50S_ribosomal_protein_L21e.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0290_ESMFold_50S_ribosomal_protein_L21e.pdb,ESMFold,50S ribosomal protein L21e,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0290,0.654
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0291_ESMFold_M42_family_metallopeptidase.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0291_ESMFold_M42_family_metallopeptidase.pdb,ESMFold,M42 family metallopeptidase,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0291,0.973
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0292_ESMFold_uracil-DNA_glycosylase.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0292_ESMFold_uracil-DNA_glycosylase.pdb,ESMFold,uracil-DNA glycosylase,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0292,0.954
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0293_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0293_ESMFold_hypothetical_protein.pdb,ESMFold,structural match to: Ras-related GTP-binding protein A ,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0293,0.587
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0294_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0294_ESMFold_hypothetical_protein.pdb,ESMFold,structural match to: Lipid A biosynthesis palmitoleoyltransferase ,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0294,0.711
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0295_ESMFold_TIGR00269_family_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0295_ESMFold_TIGR00269_family_protein.pdb,ESMFold,TIGR00269 family protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0295,0.952
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0296_ESMFold_class_I_SAM-dependent_methyltransferase.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0296_ESMFold_class_I_SAM-dependent_methyltransferase.pdb,ESMFold,class I SAM-dependent methyltransferase,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0296,0.949
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0297_ESMFold_short-chain-enoyl-CoA_hydratase.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0297_ESMFold_short-chain-enoyl-CoA_hydratase.pdb,ESMFold,short-chain-enoyl-CoA hydratase,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0297,0.839
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0298_ESMFold_tRNA_pseudouridine-54-55-_synthase_Pus10.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0298_ESMFold_tRNA_pseudouridine-54-55-_synthase_Pus10.pdb,ESMFold,tRNA pseudouridine-54-55- synthase Pus10,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0298,0.882
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0299_ESMFold_HesA-MoeB-ThiF_family_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0299_ESMFold_HesA-MoeB-ThiF_family_protein.pdb,ESMFold,HesA-MoeB-ThiF family protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0299,0.971
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0300_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0300_ESMFold_hypothetical_protein.pdb,ESMFold,hypothetical protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0300,0.379
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0301_AF2_hypothetical_protein.pdb,../folded_proteins/AF2.3/Loki-ASV2_OOM_prot016/ranking_debug.json,AlphaFold2.3,structural match to: Crystal structure of the artificial alpharep-7 octarellinV.1 complex ,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0301,-
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0302_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0302_ESMFold_hypothetical_protein.pdb,ESMFold,structural match to: Clostripain ,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0302,0.647
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0303_ESMFold_excinuclease_ABC_subunit_UvrC.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0303_ESMFold_excinuclease_ABC_subunit_UvrC.pdb,ESMFold,excinuclease ABC subunit UvrC,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0303,0.528
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0304_ESMFold_SLC45_family_MFS_transporter.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0304_ESMFold_SLC45_family_MFS_transporter.pdb,ESMFold,SLC45 family MFS transporter,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0304,0.877
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0305_ESMFold_secondary_thiamine-phosphate_synthase_enzyme_YjbQ.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0305_ESMFold_secondary_thiamine-phosphate_synthase_enzyme_YjbQ.pdb,ESMFold,secondary thiamine-phosphate synthase enzyme YjbQ,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0305,0.871
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0306_ESMFold_Rab_family_GTPase.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0306_ESMFold_Rab_family_GTPase.pdb,ESMFold,Rab family GTPase,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0306,0.893
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0307_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0307_ESMFold_hypothetical_protein.pdb,ESMFold,hypothetical protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0307,0.474
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0308_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0308_ESMFold_hypothetical_protein.pdb,ESMFold,structural match to: Lipid A biosynthesis palmitoleoyltransferase ,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0308,0.745
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0309_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0309_ESMFold_hypothetical_protein.pdb,ESMFold,structural match to: Amylopullulanase ,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0309,0.843
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0310_ESMFold_ATP-dependent_chaperone_ClpB.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0310_ESMFold_ATP-dependent_chaperone_ClpB.pdb,ESMFold,ATP-dependent chaperone ClpB,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0310,0.698
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0311_ESMFold_tryptophan--tRNA_ligase.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0311_ESMFold_tryptophan--tRNA_ligase.pdb,ESMFold,tryptophan--tRNA ligase,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0311,0.933
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0312_ESMFold_preprotein_translocase_subunit_SecY.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0312_ESMFold_preprotein_translocase_subunit_SecY.pdb,ESMFold,preprotein translocase subunit SecY,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0312,0.909
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0313_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0313_ESMFold_hypothetical_protein.pdb,ESMFold,hypothetical protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0313,0.722
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0314_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0314_ESMFold_hypothetical_protein.pdb,ESMFold,hypothetical protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0314,0.28
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0315_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0315_ESMFold_hypothetical_protein.pdb,ESMFold,structural match to: Uncharacterized protein Rv2102 ,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0315,0.645
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0316_AF2_DEAD-DEAH_box_helicase.pdb,../folded_proteins/AF2.3/Loki-ASV2_OOM_prot092/ranking_debug.json,AlphaFold2.3,DEAD-DEAH box helicase,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0316,-
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0317_AF2_hypothetical_protein.pdb,../folded_proteins/AF2.3/Loki-ASV2_OOM_prot141/ranking_debug.json,AlphaFold2.3,structural match to: Crystal structure of the Hathewaya histolytica ColG tandem collagen-binding domain s3as3b in the presence of calcium at 1.9 Angstrom resolution ,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0317,-
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0318_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0318_ESMFold_hypothetical_protein.pdb,ESMFold,hypothetical protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0318,0.226
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0319_AF2_hypothetical_protein.pdb,../folded_proteins/AF2.3/Loki-ASV2_OOM_prot135/ranking_debug.json,AlphaFold2.3,structural match to: I-band fragment I65-I70 from titin ,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0319,-
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0320_ESMFold_radical_SAM_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0320_ESMFold_radical_SAM_protein.pdb,ESMFold,radical SAM protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0320,0.918
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0321_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0321_ESMFold_hypothetical_protein.pdb,ESMFold,hypothetical protein,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0321,0.665
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0322_ESMFold_archaeal_proteasome_endopeptidase_complex_subunit_alpha.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0322_ESMFold_archaeal_proteasome_endopeptidase_complex_subunit_alpha.pdb,ESMFold,archaeal proteasome endopeptidase complex subunit alpha,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0322,0.942
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0323_ESMFold_asparaginase.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0323_ESMFold_asparaginase.pdb,ESMFold,asparaginase,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0323,0.961
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0324_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0324_ESMFold_hypothetical_protein.pdb,ESMFold,structural match to: Arylsulfatase H ,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0324,0.939
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0325_ESMFold_2-hydroxyacid_dehydrogenase.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0325_ESMFold_2-hydroxyacid_dehydrogenase.pdb,ESMFold,2-hydroxyacid dehydrogenase,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0325,0.931
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0326_ESMFold_2-hydroxyacid_dehydrogenase.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0326_ESMFold_2-hydroxyacid_dehydrogenase.pdb,ESMFold,2-hydroxyacid dehydrogenase,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0326,0.917
../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0327_ESMFold_hypothetical_protein.pdb,../folded_proteins/complete_proteome_top_pdb/LOKIASV2_0327_ESMFold_hypothetical_protein.pdb,ESMFold,structural match to: CRYSTAL STRUCTURE OF A UBIQUINONE/MENAQUINONE BIOSYNTHESIS METHYLTRANSFERASE-RELATED PROTEIN (TM1389) FROM THERMOTOGA MARITIMA MSB8 AT 2.35 A RESOLUTION ,"""A deep learning structural prediction of N. marumarumayae protein from open reading frame #[4 digit index]. It was modelled with [Modelling software] using default settings. It has a pLDDT confidence of  [Relative path to structure, extract b-factor from .pdb], and a pTM of [pTM, value if available].""", ma-marumar-0327,0.956
