original_ORF_annotation	query	target	description	fident	alnlen	mismatch	qstart	qend	tstart	tend	evalue	bits
>LOKIASV2_14140 hypothetical protein	LOKIASV2_1414_ESMFold_hypothetical_protein	AF-O07779-F1-model_v4	Antitoxin VapB27 	0.309	42	28	4	45	1	42	0.01135	127
>LOKIASV2_14150 hypothetical protein	LOKIASV2_1415_ESMFold_hypothetical_protein	3wj7-assembly1.cif.gz_C	Crystal structure of gox2253 	0.45	60	32	8	67	195	254	0.001323	135
>LOKIASV2_14160 hypothetical protein	LOKIASV2_ORF_1416 not PDB100 or Swiss-Prot hit											
>LOKIASV2_14170 hypothetical protein	LOKIASV2_1417_ESMFold_hypothetical_protein	AF-Q96Z89-F1-model_v4	Putative antitoxin VapB21 	0.25	72	50	2	73	1	67	0.01535	85
>LOKIASV2_14180 type II toxin-antitoxin system VapC family toxin	LOKIASV2_1418_ESMFold_type_II_toxin-antitoxin_system_VapC_family_toxin	AF-Q4QLW0-F1-model_v4	Ribonuclease VapC 	0.262	137	95	3	139	2	131	1.708E-10	418
>LOKIASV2_14190 hypothetical protein	LOKIASV2_1419_ESMFold_hypothetical_protein	AF-B4UFZ1-F1-model_v4	Non-homologous end joining protein Ku 	0.184	38	28	1	38	44	78	6.515	26
>LOKIASV2_14200 hypothetical protein	LOKIASV2_1420_ESMFold_hypothetical_protein	AF-Q6E3K9-F1-model_v4	Propionicin-F 	0.135	81	61	1	72	165	245	0.04376	75
>LOKIASV2_14210 hypothetical protein	LOKIASV2_1421_ESMFold_hypothetical_protein	6ltj-assembly1.cif.gz_Q	Structure of nucleosome-bound human BAF complex 	0.2	115	73	11	125	10	101	0.7934	28
>LOKIASV2_14220 hypothetical protein	LOKIASV2_1422_ESMFold_hypothetical_protein	AF-Q5M699-F1-model_v4	Adapter protein MecA 	0.183	49	37	2	47	97	145	2.35	34
>LOKIASV2_14230 hypothetical protein	LOKIASV2_1423_ESMFold_hypothetical_protein	1myl-assembly2.cif.gz_E	SUBSTITUTING HYDROPHOBIC RESIDUES FOR A BURIED SALT BRIDGE ENHANCES PROTEIN STABILITY BUT DOES NOT REDUCE CONFORMATIONAL SPECIFICITY 	0.275	40	28	1	40	1	40	0.3752	77
>LOKIASV2_14240 hypothetical protein	LOKIASV2_1424_ESMFold_hypothetical_protein	AF-Q04732-F1-model_v4	Calcium-binding acidic-repeat protein 	0.511	45	21	63	106	203	247	0.005152	150
>LOKIASV2_14250 hypothetical protein	LOKIASV2_1425_ESMFold_hypothetical_protein	AF-B7M2P4-F1-model_v4	Nickel-responsive regulator 	0.256	39	28	1	39	2	40	0.5293	79
>LOKIASV2_14260 hypothetical protein	LOKIASV2_1426_ESMFold_hypothetical_protein	AF-B4RNW6-F1-model_v4	1-deoxy-D-xylulose-5-phosphate synthase 	0.137	51	42	1	50	179	229	8.979	20
>LOKIASV2_14270 hypothetical protein	LOKIASV2_1427_ESMFold_hypothetical_protein	2ek8-assembly1.cif.gz_A	Aminopeptidase from Aneurinibacillus sp. strain AM-1 	0.22	438	306	8	445	2	394	1.173E-23	734
>LOKIASV2_14280 M3 family oligoendopeptidase	LOKIASV2_1428_ESMFold_M3_family_oligoendopeptidase	AF-Q53778-F1-model_v4	Group B oligopeptidase PepB 	0.193	614	478	1	614	8	600	5.457E-25	1098
>LOKIASV2_14290 DMT family transporter	LOKIASV2_1429_ESMFold_DMT_family_transporter	AF-O29973-F1-model_v4	Uncharacterized transporter AF_0266 	0.22	292	213	8	299	3	276	1.259E-12	634
>LOKIASV2_14300 creatininase family protein	LOKIASV2_1430_ESMFold_creatininase_family_protein	AF-A0PM51-F1-model_v4	Mycofactocin precursor peptide peptidase 	0.28	246	164	1	246	12	240	3.85E-17	556
>LOKIASV2_14310 hypothetical protein	LOKIASV2_1431_ESMFold_hypothetical_protein	AF-P0CX05-F1-model_v4	Probable transposase for insertion sequence element ISH11 	0.15	336	267	136	471	10	324	1.29E-10	365
>LOKIASV2_14320 GNAT family N-acetyltransferase	LOKIASV2_1432_ESMFold_GNAT_family_N-acetyltransferase	AF-O32293-F1-model_v4	Uncharacterized N-acetyltransferase YycN 	0.256	154	111	1	154	2	151	9.154E-10	326
>LOKIASV2_14330 hypothetical protein	LOKIASV2_1433_ESMFold_hypothetical_protein	7znq-assembly1.cif.gz_y	ABC transporter complex NosDFYL in GDN 	0.173	267	205	4	270	2	250	0.00004222	260
>LOKIASV2_14340 hypothetical protein	LOKIASV2_1434_ESMFold_hypothetical_protein	AF-Q1PEH6-F1-model_v4	ABC transporter A family member 3 	0.181	126	101	24	147	804	929	0.0000004446	253
>LOKIASV2_14350 hypothetical protein	LOKIASV2_1435_ESMFold_hypothetical_protein	AF-P05728-F1-model_v4	Maturase-like protein 1 	0.3	163	113	9	171	6	167	8.454E-11	486
>LOKIASV2_14360 hypothetical protein	LOKIASV2_1436_ESMFold_hypothetical_protein	AF-B7NFG1-F1-model_v4	Der GTPase-activating protein YihI 	0.095	103	85	8	110	69	163	1.65	21
>LOKIASV2_14370 PadR family transcriptional regulator	LOKIASV2_1437_ESMFold_PadR_family_transcriptional_regulator	3l9f-assembly2.cif.gz_C	The Crystal Structure of smu.1604c from Streptococcus mutans UA159 	0.24	179	128	3	181	1	169	0.00000002104	329
>LOKIASV2_14380 hypothetical protein	LOKIASV2_1438_ESMFold_hypothetical_protein	AF-P13974-F1-model_v4	Uncharacterized 24.3 kDa protein 	0.114	231	187	22	252	1	212	0.02204	97
>LOKIASV2_14390 hypothetical protein	LOKIASV2_1439_ESMFold_hypothetical_protein	AF-P55437-F1-model_v4	Uncharacterized protein y4eN 	0.245	53	39	7	58	2	54	0.03937	106
>LOKIASV2_14400 hypothetical protein	LOKIASV2_1440_ESMFold_hypothetical_protein	AF-O67492-F1-model_v4	Uncharacterized protein aq_1534 	0.166	59	45	32	86	94	152	1.513	37
>LOKIASV2_14410 hypothetical protein	LOKIASV2_1441_ESMFold_hypothetical_protein	AF-Q8N511-F1-model_v4	Transmembrane protein 199 	0.162	73	59	17	89	126	197	9.98	31
>LOKIASV2_14420 hypothetical protein	LOKIASV2_1442_ESMFold_hypothetical_protein	2fe1-assembly1.cif.gz_A-2	Crystal Structure of PAE0151 from Pyrobaculum aerophilum 	0.183	133	101	1	133	1	125	0.00007938	163
>LOKIASV2_14430 hypothetical protein	LOKIASV2_1443_ESMFold_hypothetical_protein	AF-P39758-F1-model_v4	Putative transition state regulator Abh 	0.352	51	32	1	51	1	50	0.01973	117
>LOKIASV2_14440 hypothetical protein	LOKIASV2_1444_ESMFold_hypothetical_protein	AF-Q9M9M9-F1-model_v4	Probable NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 	0.214	28	20	4	31	1	26	7.846	38
>LOKIASV2_14450 PIN domain-containing protein	LOKIASV2_1445_ESMFold_PIN_domain-containing_protein	AF-P9WF49-F1-model_v4	Ribonuclease VapC47 	0.167	137	109	3	139	2	133	0.000001697	212
>LOKIASV2_14460 hypothetical protein	LOKIASV2_1446_ESMFold_hypothetical_protein	AF-P55438-F1-model_v4	Uncharacterized protein y4eO 	0.219	41	31	5	45	130	170	0.03601	101
>LOKIASV2_14470 hypothetical protein	LOKIASV2_ORF_1447 not PDB100 or Swiss-Prot hit											
>LOKIASV2_14480 hypothetical protein	LOKIASV2_1448_ESMFold_hypothetical_protein	4p2j-assembly2.cif.gz_B	Crystal structure of the mouse SNX19 PX domain with bound sulphate ion 	0.157	57	45	141	194	2	58	0.09382	60
>LOKIASV2_14490 hypothetical protein	LOKIASV2_1449_ESMFold_hypothetical_protein	AF-B1XET3-F1-model_v4	UPF0386 protein YjhX 	0.102	39	33	30	67	20	58	0.8818	57
>LOKIASV2_14500 hypothetical protein	LOKIASV2_1450_ESMFold_hypothetical_protein	AF-B3LFA3-F1-model_v4	Probable magnesium transporter NIPA2 	0.125	291	240	1	275	5	295	0.00000102	311
>LOKIASV2_14510 DNA methyltransferase	LOKIASV2_1451_AF2_DNA_methyltransferase	4xqk-assembly1.cif.gz_A	ATP-dependent Type ISP restriction-modification enzyme LlaBIII bound to DNA 	0.183	959	695	11	969	660	1511	1.653E-34	1054
>LOKIASV2_14520 hypothetical protein	LOKIASV2_1452_ESMFold_hypothetical_protein	AF-P58177-F1-model_v4	TATA-box-binding protein 	0.316	191	129	6	196	9	198	2.265E-20	760
>LOKIASV2_14530 hypothetical protein	LOKIASV2_1453_ESMFold_hypothetical_protein	AF-B8I576-F1-model_v4	ATP synthase subunit delta 	0.177	62	49	4	64	28	89	6.869	29
>LOKIASV2_14540 hypothetical protein	LOKIASV2_1454_ESMFold_hypothetical_protein	4v1s-assembly1.cif.gz_A	Structure of the GH76 alpha-mannanase BT2949 from Bacteroides thetaiotaomicron 	0.11	343	279	13	326	10	352	0.00009512	179
>LOKIASV2_14550 hypothetical protein	LOKIASV2_1455_AF2_hypothetical_protein	8cy3-assembly1.cif.gz_A	CamA Adenine Methyltransferase Complexed to Cognate Substrate DNA and Compound 15 	0.123	783	473	299	1081	1	540	1.082E-13	401
>LOKIASV2_14560 hypothetical protein	LOKIASV2_1456_ESMFold_hypothetical_protein	AF-Q0W830-F1-model_v4	UPF0251 protein UNCMA_27150 	0.325	43	27	3	43	100	142	0.06506	77
>LOKIASV2_14570 hypothetical protein	LOKIASV2_1457_ESMFold_hypothetical_protein	7tjb-assembly1.cif.gz_A	Structure of Neisseria gonorrhoeae peptidoglycan O-acetyltransferase B (PatB) 	0.103	230	175	81	310	13	208	0.005457	81
>LOKIASV2_14580 hypothetical protein	LOKIASV2_1458_ESMFold_hypothetical_protein	AF-O31432-F1-model_v4	Uncharacterized transcriptional regulatory protein YbdJ 	0.309	55	37	2	56	64	117	0.1407	86
>LOKIASV2_14590 hypothetical protein	LOKIASV2_1459_ESMFold_hypothetical_protein	5jpf-assembly1.cif.gz_A	Serine/Threonine phosphatase Z1 (Candida albicans) binds to inhibitor microcystin-LR 	0.206	307	228	13	319	2	289	1.044E-22	725
>LOKIASV2_14600 hypothetical protein	LOKIASV2_1460_ESMFold_hypothetical_protein	AF-Q9HFE5-F1-model_v4	AP-1 complex subunit mu-1 	0.096	124	102	4	127	2	115	0.00001414	168
>LOKIASV2_14610 hypothetical protein	LOKIASV2_1461_ESMFold_hypothetical_protein	AF-Q9ZCP3-F1-model_v4	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE 	0.169	228	150	2	183	21	248	4.309E-13	358
>LOKIASV2_14620 hypothetical protein	LOKIASV2_1462_ESMFold_hypothetical_protein	7xw1-assembly1.cif.gz_A	The crystal structure of AhpD from Pseudomonas aeruginosa 	0.195	135	103	38	172	4	132	0.00674	142
>LOKIASV2_14630 hypothetical protein	LOKIASV2_1463_ESMFold_hypothetical_protein	AF-Q58958-F1-model_v4	Putative HTH-type transcriptional regulator MJ1563 	0.182	169	124	199	367	1	152	0.0003153	153
>LOKIASV2_14640 hypothetical protein	LOKIASV2_1464_ESMFold_hypothetical_protein	AF-Q9XZ34-F1-model_v4	Telomere-associated protein RIF1 	0.235	49	34	4	49	1332	1380	5.275	27
>LOKIASV2_14650 hypothetical protein	LOKIASV2_1465_ESMFold_hypothetical_protein	AF-Q9NSA3-F1-model_v4	Beta-catenin-interacting protein 1 	0.14	64	53	25	87	8	71	3.345	41
>LOKIASV2_14660 histone deacetylase	LOKIASV2_1466_ESMFold_histone_deacetylase	AF-O30107-F1-model_v4	Probable deacetylase AF_0130 	0.308	370	244	3	372	2	355	7.038E-38	1267
>LOKIASV2_14670 isoprenylcysteine carboxylmethyltransferase family protein	LOKIASV2_1467_ESMFold_isoprenylcysteine_carboxylmethyltransferase_family_protein	AF-Q8TMG0-F1-model_v4	Protein-S-isoprenylcysteine O-methyltransferase 	0.257	187	137	48	234	9	194	0.00001552	237
>LOKIASV2_14680 Rab family GTPase	LOKIASV2_1468_ESMFold_Rab_family_GTPase	AF-Q9TVU5-F1-model_v4	Ras-related protein Rab-1 	0.327	169	111	5	173	6	171	1.68E-19	685
>LOKIASV2_14690 HAD family hydrolase	LOKIASV2_1469_ESMFold_HAD_family_hydrolase	AF-Q9CKJ5-F1-model_v4	Phosphoglycolate phosphatase 	0.194	223	170	1	212	1	223	3.985E-14	458
>LOKIASV2_14700 hypothetical protein	LOKIASV2_1470_AF2_hypothetical_protein	AF-Q0W6L1-F1-model_v4	ATP-dependent DNA helicase Hel308 	0.334	822	478	20	841	8	725	2.462E-61	2745
>LOKIASV2_14710 minichromosome maintenance protein MCM	LOKIASV2_1471_ESMFold_minichromosome_maintenance_protein_MCM	AF-Q9UXG1-F1-model_v4	Minichromosome maintenance protein MCM 	0.391	699	414	7	705	5	685	1.287E-70	2677
>LOKIASV2_14720 hypothetical protein	LOKIASV2_1472_ESMFold_hypothetical_protein	4zv6-assembly1.cif.gz_A	Crystal structure of the artificial alpharep-7 octarellinV.1 complex 	0.264	286	204	21	306	1	278	0.000000001247	382
>LOKIASV2_14730 hypothetical protein	LOKIASV2_1473_ESMFold_hypothetical_protein	1v8c-assembly1.cif.gz_A	Crystal Structure of MoaD related protein from Thermus thermophilus HB8 	0.146	75	61	2	76	88	159	0.004796	116
>LOKIASV2_14740 hypothetical protein	LOKIASV2_1474_ESMFold_hypothetical_protein	AF-A0QNZ7-F1-model_v4	Monoacylglycerol lipase 	0.158	273	192	40	268	6	278	4.152E-10	378
>LOKIASV2_14750 hypothetical protein	LOKIASV2_1475_ESMFold_hypothetical_protein	AF-Q9CKM2-F1-model_v4	Uncharacterized peptidase PM1590 	0.221	208	157	1	208	1	202	2.767E-13	439
>LOKIASV2_14760 hypothetical protein	LOKIASV2_1476_ESMFold_hypothetical_protein	AF-P71369-F1-model_v4	Putative metabolite transport protein HI_1104 	0.169	419	332	22	440	4	404	5.357E-13	624
>LOKIASV2_14770 hypothetical protein	LOKIASV2_1477_ESMFold_hypothetical_protein	AF-Q6DNF7-F1-model_v4	Soluble guanylate cyclase gcy-32 	0.08	213	150	16	228	32	195	0.000663	93
>LOKIASV2_14780 sulfatase-like hydrolase-transferase	LOKIASV2_1478_ESMFold_sulfatase-like_hydrolase-transferase	6ptk-assembly1.cif.gz_A	Crystal structure of the sulfatase PsS1_NC C84A with bound sulfate ion 	0.212	526	362	6	531	1	460	1.766E-28	873
>LOKIASV2_14790 hydroxylamine reductase	LOKIASV2_1479_ESMFold_hydroxylamine_reductase	AF-B2A0K0-F1-model_v4	Hydroxylamine reductase 	0.557	560	245	1	560	3	555	1.746E-60	2801
>LOKIASV2_14800 hypothetical protein	LOKIASV2_1480_ESMFold_hypothetical_protein	AF-Q4U3U3-F1-model_v4	Quinate repressor protein 	0.208	130	100	2	131	101	227	0.0007585	107
>LOKIASV2_14810 glycine--tRNA ligase	LOKIASV2_1481_ESMFold_glycine--tRNA_ligase	AF-A9A885-F1-model_v4	Glycine--tRNA ligase 	0.307	571	339	7	496	2	572	2.633E-60	2065
>LOKIASV2_14820 glutamate dehydrogenase	LOKIASV2_1482_ESMFold_glutamate_dehydrogenase	AF-P96110-F1-model_v4	Glutamate dehydrogenase 	0.403	414	246	1	413	3	416	6.251E-49	2028
>LOKIASV2_14830 hypothetical protein	LOKIASV2_1483_ESMFold_hypothetical_protein	AF-A2BM70-F1-model_v4	Serine--tRNA ligase 	0.17	41	33	2	42	46	86	5.927	51
>LOKIASV2_14840 pyrimidine-specific ribonucleoside hydrolase RihA	LOKIASV2_1484_ESMFold_pyrimidine-specific_ribonucleoside_hydrolase_RihA	3g5i-assembly1.cif.gz_B	Crystal Structure of the E.coli RihA pyrimidine nucleosidase bound to a iminoribitol-based inhibitor 	0.259	319	218	6	324	1	295	1.191E-22	755
>LOKIASV2_14850 ribokinase	LOKIASV2_1485_ESMFold_ribokinase	AF-P0A9J6-F1-model_v4	Ribokinase 	0.372	311	193	1	311	1	309	3.393E-37	1407
>LOKIASV2_14860 glutamate dehydrogenase	LOKIASV2_1486_ESMFold_glutamate_dehydrogenase	AF-P96110-F1-model_v4	Glutamate dehydrogenase 	0.538	419	192	1	419	1	416	1.51E-55	2310
>LOKIASV2_14870 hypothetical protein	LOKIASV2_1487_ESMFold_hypothetical_protein	8pkd-assembly1.cif.gz_D	Cryo-EM structure of Orrella dioscoreae BcsD 	0.132	183	128	27	209	3	150	0.003644	98
>LOKIASV2_14880 hypothetical protein	LOKIASV2_1488_ESMFold_hypothetical_protein	8a53-assembly2.cif.gz_B	Crystal structure of AtMCA-IIf C147A (metacaspase 9) from Arabidopsis thaliana 	0.164	302	197	453	689	1	302	0.000000001218	311
>LOKIASV2_14890 hypothetical protein	LOKIASV2_1489_ESMFold_hypothetical_protein	AF-Q4R8R3-F1-model_v4	Coiled-coil domain-containing protein 112 	0.147	68	52	6	73	34	95	4.384	50
>LOKIASV2_14900 NADP-specific glutamate dehydrogenase	LOKIASV2_1490_ESMFold_NADP-specific_glutamate_dehydrogenase	AF-Q8RQP4-F1-model_v4	NADP-specific glutamate dehydrogenase 	0.623	448	167	1	448	1	445	5.285E-57	2618
>LOKIASV2_14910 PEP-pyruvate-binding domain-containing protein	LOKIASV2_1491_ESMFold_PEP-pyruvate-binding_domain-containing_protein	7s65-assembly1.cif.gz_E	Compressed conformation of nighttime state KaiC 	0.171	214	166	7	207	246	459	7.718E-11	344
>LOKIASV2_14920 hemerythrin domain-containing protein	LOKIASV2_1492_ESMFold_hemerythrin_domain-containing_protein	AF-P9WLP3-F1-model_v4	Uncharacterized protein Rv1995 	0.203	178	140	6	183	70	246	0.0000332	243
>LOKIASV2_14930 hypothetical protein	LOKIASV2_1493_ESMFold_hypothetical_protein	AF-Q54QG9-F1-model_v4	NEDD8-activating enzyme E1 catalytic subunit 	0.188	512	322	32	543	43	440	1.253E-25	732
>LOKIASV2_14940 hypothetical protein	LOKIASV2_1494_ESMFold_hypothetical_protein	AF-Q8HZJ5-F1-model_v4	Ras-related protein Rab-27B 	0.277	197	136	80	276	4	192	1.482E-17	566
>LOKIASV2_14950 hypothetical protein	LOKIASV2_1495_ESMFold_hypothetical_protein	AF-O28611-F1-model_v4	Uncharacterized protein AF_1662 	0.145	62	50	37	98	23	82	0.2561	99
>LOKIASV2_14960 hypothetical protein	LOKIASV2_1496_ESMFold_hypothetical_protein	AF-Q57362-F1-model_v4	Uncharacterized MscS family protein HI_0195.1 	0.142	310	205	23	332	839	1078	3.109E-14	323
>LOKIASV2_14970 hypothetical protein	LOKIASV2_1497_ESMFold_hypothetical_protein	AF-O34897-F1-model_v4	Uncharacterized MscS family protein YkuT 	0.19	282	203	3	284	7	257	2.659E-14	356
>LOKIASV2_14980 hypothetical protein	LOKIASV2_1498_ESMFold_hypothetical_protein	4xqk-assembly1.cif.gz_A	ATP-dependent Type ISP restriction-modification enzyme LlaBIII bound to DNA 	0.171	731	583	27	757	808	1511	2.001E-35	1061
>LOKIASV2_14990 30S ribosomal protein S30e	LOKIASV2_1499_ESMFold_30S_ribosomal_protein_S30e	AF-A7MGV6-F1-model_v4	Cytoskeleton protein RodZ 	0.196	51	40	18	68	91	141	7.696	30
>LOKIASV2_15000 hypothetical protein	LOKIASV2_1500_ESMFold_hypothetical_protein	AF-P70805-F1-model_v4	Mannuronan C5-epimerase AlgG 	0.23	112	82	5	111	301	412	0.001488	198
>LOKIASV2_15010 hypothetical protein	LOKIASV2_1501_ESMFold_hypothetical_protein	4mxn-assembly2.cif.gz_B	Crystal structure of a putative glycosyl hydrolase (PARMER_00599) from Parabacteroides merdae ATCC 43184 at 1.95 A resolution 	0.207	53	37	91	143	139	186	2.24	44
>LOKIASV2_15020 hypothetical protein	LOKIASV2_1502_ESMFold_hypothetical_protein	AF-P15905-F1-model_v4	Arsenical resistance operon repressor 	0.25	110	78	1	110	1	105	0.00006326	155
>LOKIASV2_15030 hypothetical protein	LOKIASV2_1503_ESMFold_hypothetical_protein	3w0m-assembly1.cif.gz_A	Crystal structure of a thermostable mutant of aminoglycoside phosphotransferase APH(4)-Ia, apo form 	0.184	311	235	14	324	1	289	7.307E-13	379
>LOKIASV2_15040 DUF2804 domain-containing protein	LOKIASV2_1504_ESMFold_DUF2804_domain-containing_protein	AF-Q5ABA2-F1-model_v4	Survival factor 1 	0.093	336	274	39	341	47	382	0.00000003878	231
>LOKIASV2_15050 hypothetical protein	LOKIASV2_1505_ESMFold_hypothetical_protein	2a6m-assembly2.cif.gz_A-2	Crystal Structure of the ISHp608 Transposase 	0.323	71	47	4	74	3	72	0.00006101	173
>LOKIASV2_15060 hypothetical protein	LOKIASV2_1506_ESMFold_hypothetical_protein	AF-P22177-F1-model_v4	Proliferating cell nuclear antigen 	0.193	31	24	14	44	57	87	1.623	62
>LOKIASV2_15070 hypothetical protein	LOKIASV2_1507_ESMFold_hypothetical_protein	AF-Q0WPT7-F1-model_v4	Uncharacterized methyltransferase At2g41040, chloroplastic 	0.153	299	235	3	301	73	351	7.479E-15	359
>LOKIASV2_15080 DMT family transporter	LOKIASV2_1508_ESMFold_DMT_family_transporter	AF-O34416-F1-model_v4	Uncharacterized transporter YoaV 	0.133	287	245	1	284	1	287	0.000000005715	443
>LOKIASV2_15090 hypothetical protein	LOKIASV2_1509_ESMFold_hypothetical_protein	AF-Q9VP65-F1-model_v4	Multifunctional methyltransferase subunit TRM112-like protein 	0.141	218	103	1	218	1	121	0.01719	77
>LOKIASV2_15100 hypothetical protein	LOKIASV2_1510_ESMFold_hypothetical_protein	AF-Q0DJC5-F1-model_v4	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1A 	0.159	614	485	53	630	1	614	1.436E-34	908
>LOKIASV2_15110 hypothetical protein	LOKIASV2_1511_ESMFold_hypothetical_protein	AF-Q5JDK7-F1-model_v4	Preprotein translocase subunit SecG 	0.307	52	35	16	67	5	56	0.05273	69
>LOKIASV2_15120 MazG nucleotide pyrophosphohydrolase domain-containing protein	LOKIASV2_1512_ESMFold_MazG_nucleotide_pyrophosphohydrolase_domain-containing_protein	1vmg-assembly1.cif.gz_A	Crystal structure of MazG nucleotide pyrophosphohydrolase (13816655) from Sulfolobus solfataricus at 1.46 A resolution 	0.476	84	41	1	84	3	82	0.00003618	253
>LOKIASV2_15130 hypothetical protein	LOKIASV2_1513_ESMFold_hypothetical_protein	AF-D4GWY0-F1-model_v4	Flagellin A1 	0.186	211	159	17	212	3	213	7.002E-12	354
>LOKIASV2_15140 hypothetical protein	LOKIASV2_1514_ESMFold_hypothetical_protein	AF-Q9HM08-F1-model_v4	DNA topoisomerase 1 	0.273	108	70	5	112	667	763	0.00007903	129
>LOKIASV2_15150 hypothetical protein	LOKIASV2_1515_ESMFold_hypothetical_protein	AF-P42300-F1-model_v4	Uncharacterized protein YxiH 	0.094	69	59	25	90	33	101	0.2712	41
>LOKIASV2_15160 hypothetical protein	LOKIASV2_1516_ESMFold_hypothetical_protein	AF-Q9YAN8-F1-model_v4	Probable flagellin 1 	0.248	201	144	22	214	2	202	3.167E-11	344
>LOKIASV2_15170 hypothetical protein	LOKIASV2_1517_ESMFold_hypothetical_protein	AF-Q9YAN8-F1-model_v4	Probable flagellin 1 	0.268	201	141	15	207	2	202	2.907E-12	382
>LOKIASV2_15180 hypothetical protein	LOKIASV2_1518_ESMFold_hypothetical_protein	AF-O29208-F1-model_v4	Probable flagellin 1 	0.246	197	146	14	208	6	202	5.676E-11	339
>LOKIASV2_15190 hypothetical protein	LOKIASV2_1519_ESMFold_hypothetical_protein	AF-O34446-F1-model_v4	Uncharacterized protein YjpA 	0.206	97	67	9	105	1	85	0.00001719	207
>LOKIASV2_15200 hypothetical protein	LOKIASV2_1520_ESMFold_hypothetical_protein	AF-Q54RD6-F1-model_v4	Protein phosphatase 2A catalytic subunit B 	0.222	319	229	113	431	8	302	4.426E-23	753
>LOKIASV2_15210 hypothetical protein	LOKIASV2_1521_ESMFold_hypothetical_protein	4txr-assembly1.cif.gz_A	Crystal structure of LIP5 N-terminal domain complexed with CHMP1B MIM and CHMP5 MIM 	0.125	157	125	3	159	11	154	0.1281	74
>LOKIASV2_15220 hypothetical protein	LOKIASV2_1522_ESMFold_hypothetical_protein	2crb-assembly1.cif.gz_A	Solution structure of MIT domain from mouse NRBF-2 	0.141	91	77	1	91	4	94	0.7628	69
>LOKIASV2_15230 NAD-dependent epimerase-dehydratase family protein	LOKIASV2_1523_ESMFold_NAD-dependent_epimerase-dehydratase_family_protein	AF-Q57664-F1-model_v4	Putative UDP-glucose 4-epimerase 	0.356	315	195	3	317	2	305	3.22E-33	1164
>LOKIASV2_15240 hypothetical protein	LOKIASV2_1524_AF2_hypothetical_protein	AF-Q97Z97-F1-model_v4	Kelch domain-containing protein SSO1033 	0.191	271	202	733	1003	410	660	0.000000001706	319
>LOKIASV2_15250 hypothetical protein	LOKIASV2_1525_ESMFold_hypothetical_protein	AF-E3PV41-F1-model_v4	Chorismate synthase 	0.401	358	212	240	594	2	359	5.103E-41	1629
>LOKIASV2_15260 3-dehydroquinate synthase	LOKIASV2_1526_ESMFold_3-dehydroquinate_synthase	AF-B1WUD4-F1-model_v4	3-dehydroquinate synthase 	0.362	362	230	8	369	2	363	1.588E-36	1448
>LOKIASV2_15270 3-phosphoshikimate 1-carboxyvinyltransferase	LOKIASV2_1527_ESMFold_3-phosphoshikimate_1-carboxyvinyltransferase	AF-Q2FQ54-F1-model_v4	3-phosphoshikimate 1-carboxyvinyltransferase 	0.345	426	277	7	432	1	424	8.351E-59	1896
>LOKIASV2_15280 hypothetical protein	LOKIASV2_1528_ESMFold_hypothetical_protein	AF-Q58029-F1-model_v4	Probable arogenate/prephenate dehydrogenase 	0.298	304	199	1	285	1	304	4.768E-26	944
>LOKIASV2_15290 hypothetical protein	LOKIASV2_1529_ESMFold_hypothetical_protein	AF-Q57696-F1-model_v4	Chorismate mutase 	0.348	89	57	2	90	4	92	0.00001823	245
>LOKIASV2_15300 N-A	LOKIASV2_1530_ESMFold_N-A	AF-Q9WYH8-F1-model_v4	Phospho-2-dehydro-3-deoxyheptonate aldolase 	0.486	259	133	13	271	79	337	6.408E-37	1333
>LOKIASV2_15310 transketolase family protein	LOKIASV2_1531_ESMFold_transketolase_family_protein	AF-Q58092-F1-model_v4	Putative transketolase C-terminal section 	0.42	317	182	24	340	1	315	1.831E-37	1342
>LOKIASV2_15320 transketolase	LOKIASV2_1532_ESMFold_transketolase	6yak-assembly1.cif.gz_CCC	Split gene transketolase, active alpha2beta2 heterotetramer 	0.437	272	152	33	304	2	272	1.796E-29	1232
>LOKIASV2_15330 hypothetical protein	LOKIASV2_1533_ESMFold_hypothetical_protein	2kp8-assembly1.cif.gz_A	Ligand bound to a model peptide that mimics the open fusogenic form 	0.089	56	50	8	63	3	58	2.136	54
>LOKIASV2_15340 type II methionyl aminopeptidase	LOKIASV2_1534_ESMFold_type_II_methionyl_aminopeptidase	AF-B6YTG0-F1-model_v4	Methionine aminopeptidase 	0.392	295	178	41	335	3	295	2.12E-29	963
>LOKIASV2_15350 dTMP kinase	LOKIASV2_1535_ESMFold_dTMP_kinase	AF-O59366-F1-model_v4	Probable thymidylate kinase 	0.38	206	125	9	214	3	204	7.645E-18	682
>LOKIASV2_15360 hypothetical protein	LOKIASV2_1536_AF2_hypothetical_protein	7q60-assembly1.cif.gz_A	Structure of TEV cleaved A2ML1 (A2ML1-TE) 	0.105	859	749	1066	1924	20	857	4.512E-22	303
>LOKIASV2_15370 hypothetical protein	LOKIASV2_1537_ESMFold_hypothetical_protein	AF-P16397-F1-model_v4	Bacillopeptidase F 	0.121	362	245	60	421	1154	1433	0.00000008435	150
>LOKIASV2_15380 hypothetical protein	LOKIASV2_1538_ESMFold_hypothetical_protein	AF-O29944-F1-model_v4	UPF0332 protein AF_0298 	0.086	112	91	15	115	12	123	0.5526	67
